Entity,Year,Code,Continent,Population,GDP per capita [$],PEC [TWh],Oil,Coal,Gas,Hydropower,Nuclear,Solar,Wind,Other renewables,Biofuels and Waste,Transport S,Industry S,Residential S,Commercial and public services S,Agriculture/Forestry S,Non-energy use S,Non-specified S
Afghanistan,1960,AFG,Asia,8996973,59.77319384,,,,,,,,,,,,,,,,,
,1961,AFG,Asia,9169410,59.86087388,,,,,,,,,,,,,,,,,
,1962,AFG,Asia,9351441,58.45801495,,,,,,,,,,,,,,,,,
,1963,AFG,Asia,9543205,78.70638754,,,,,,,,,,,,,,,,,
,1964,AFG,Asia,9744781,82.09523071,,,,,,,,,,,,,,,,,
,1965,AFG,Asia,9956320,101.1083049,,,,,,,,,,,,,,,,,
,1966,AFG,Asia,10174836,137.5943521,,,,,,,,,,,,,,,,,
,1967,AFG,Asia,10399926,160.8985889,,,,,,,,,,,,,,,,,
,1968,AFG,Asia,10637063,129.1083231,,,,,,,,,,,,,,,,,
,1969,AFG,Asia,10893776,129.3297129,,,,,,,,,,,,,,,,,
,1970,AFG,Asia,11173642,156.5189394,,,,,,,,,,,,,,,,,
,1971,AFG,Asia,11475445,159.5675785,,,,,,,,,,,,,,,,,
,1972,AFG,Asia,11791215,135.3173083,,,,,,,,,,,,,,,,,
,1973,AFG,Asia,12108963,143.1446495,,,,,,,,,,,,,,,,,
,1974,AFG,Asia,12412950,173.6537646,,,,,,,,,,,,,,,,,
,1975,AFG,Asia,12689160,186.5108971,,,,,,,,,,,,,,,,,
,1976,AFG,Asia,12943093,197.4455076,,,,,,,,,,,,,,,,,
,1977,AFG,Asia,13171306,224.2247973,,,,,,,,,,,,,,,,,
,1978,AFG,Asia,13341198,247.3541063,,,,,,,,,,,,,,,,,
,1979,AFG,Asia,13411056,275.7381976,,,,,,,,,,,,,,,,,
,1980,AFG,Asia,13356511,272.6552857,,,,,,,,,,,,,,,,,
,1981,AFG,Asia,13171673,264.1113175,,,,,,,,,,,,,,,,,
,1982,AFG,Asia,12882528,179.4264945,,,,,,,,,,,,,,,,,
,1983,AFG,Asia,12537730,190.6840088,,,,,,,,,,,,,,,,,
,1984,AFG,Asia,12204292,211.3819695,,,,,,,,,,,,,,,,,
,1985,AFG,Asia,11938208,242.0313792,,,,,,,,,,,,,,,,,
,1986,AFG,Asia,11736179,263.7337347,,,,,,,,,,,,,,,,,
,1987,AFG,Asia,11604534,359.69348,,,,,,,,,,,,,,,,,
,1988,AFG,Asia,11618005,364.6604654,,,,,,,,,,,,,,,,,
,1989,AFG,Asia,11868877,438.0760344,,,,,,,,,,,,,,,,,
,1990,AFG,Asia,12412308,543.3030419,,,,,,,,,,,,,,,,,
,1991,AFG,Asia,13299017,591.1623465,,,,,,,,,,,,,,,,,
,1992,AFG,Asia,14485546,641.8720338,,,,,,,,,,,,,,,,,
,1993,AFG,Asia,15816603,637.1650439,,,,,,,,,,,,,,,,,
,1994,AFG,Asia,17075727,613.8563329,,,,,,,,,,,,,,,,,
,1995,AFG,Asia,18110657,578.4663529,,,,,,,,,,,,,,,,,
,1996,AFG,Asia,18853437,547.2281102,,,,,,,,,,,,,,,,,
,1997,AFG,Asia,19357126,556.3021385,,,,,,,,,,,,,,,,,
,1998,AFG,Asia,19737765,520.8966027,,,,,,,,,,,,,,,,,
,1999,AFG,Asia,20170844,639.4847358,,,,,,,,,,,,,,,,,
,2000,AFG,Asia,20779953,639.8659094,,,,,,,,,,,,,,,,,
,2001,AFG,Asia,21606988,693.8734746,,,,,,,,,,,,,,,,,
,2002,AFG,Asia,22600770,674.7933831,,,,,,,,,,,,,,,,,
,2003,AFG,Asia,23680871,652.7743214,,,,,,,,,,,,,,,,,
,2004,AFG,Asia,24726684,697.9955966,,,,,,,,,,,,,,,,,
,2005,AFG,Asia,25654277,617.2304355,,,,,,,,,,,,,,,,,
,2006,AFG,Asia,26433049,336.5869945,,,,,,,,,,,,,,,,,
,2007,AFG,Asia,27100536,200.8522198,,,,,,,,,,,,,,,,,
,2008,AFG,Asia,27722276,367.2792251,,,,,,,,,,,,,,,,,
,2009,AFG,Asia,28394813,586.4163396,,,,,,,,,,,,,,,,,
,2010,AFG,Asia,29185507,750.6044492,,,,,,,,,,,,,,,,,
,2011,AFG,Asia,30117413,1009.977668,,,,,,,,,,,,,,,,,
,2012,AFG,Asia,31161376,717.3805674,,,,,,,,,,,,,,,,,
,2013,AFG,Asia,32269589,813.7902636,,,,,,,,,,,,,,,,,
,2014,AFG,Asia,33370794,1033.241693,,,,,,,,,,,,,,,,,
,2015,AFG,Asia,34413603,1126.683318,,,,,,,,,,,,,,,,,
,2016,AFG,Asia,35383128,1281.659393,,,,,,,,,,,,,,,,,
,2017,AFG,Asia,36296400,1425.124849,,,,,,,,,,,,,,,,,
,2018,AFG,Asia,37172386,1846.118813,,,,,,,,,,,,,,,,,
Albania,1960,ALB,Europe,1608800,2609.945608,,,,,,,,,,,,,,,,,
,1961,ALB,Europe,1659800,3113.101094,,,,,,,,,,,,,,,,,
,1962,ALB,Europe,1711319,3478.818543,,,,,,,,,,,,,,,,,
,1963,ALB,Europe,1762621,3950.561607,,,,,,,,,,,,,,,,,
,1964,ALB,Europe,1814135,4923.540099,,,,,,,,,,,,,,,,,
,1965,ALB,Europe,1864791,3883.378143,,,,,,,,,,,,,,,,,
,1966,ALB,Europe,1914573,4480.724539,,,,,,,,,,,,,,,,,
,1967,ALB,Europe,1965598,5455.741338,,,,,,,,,,,,,,,,,
,1968,ALB,Europe,2022272,5592.326098,,,,,,,,,,,,,,,,,
,1969,ALB,Europe,2081695,5499.581487,,,,,,,,,,,,,,,,,
,1970,ALB,Europe,2135479,5493.02559,,,,,,,,,,,,,,,,,
,1971,ALB,Europe,2187853,4177.867517,,,,,,,,,,,,,,,,,
,1972,ALB,Europe,2243126,3946.421445,,,,,,,,,,,,,,,,,
,1973,ALB,Europe,2296752,4044.298372,,,,,,,,,,,,,,,,,
,1974,ALB,Europe,2350124,4114.715061,,,,,,,,,,,,,,,,,
,1975,ALB,Europe,2404831,8700.067705,,,,,,,,,,,,,,,,,
,1976,ALB,Europe,2458526,8856.547459,,,,,,,,,,,,,,,,,
,1977,ALB,Europe,2513546,8578.944723,,,,,,,,,,,,,,,,,
,1978,ALB,Europe,2566266,8444.9817,,,,,,,,,,,,,,,,,
,1979,ALB,Europe,2617832,8391.561067,,,,,,,,,,,,,,,,,
,1980,ALB,Europe,2671997,8909.449156,,,,,,,,,,,,,,,,,
,1981,ALB,Europe,2726056,9792.666806,,,,,,,,,,,,,,,,,
,1982,ALB,Europe,2784278,11961.25823,,,,,,,,,,,,,,,,,
,1983,ALB,Europe,2843960,10271.22452,,,,,,,,,,,,,,,,,
,1984,ALB,Europe,2904429,10294.30227,,,,,,,,,,,,,,,,,
,1985,ALB,Europe,2964762,11568.793,,,,,,,,,,,,,,,,,
,1986,ALB,Europe,3022635,11505.39371,,,,,,,,,,,,,,,,,
,1987,ALB,Europe,3083605,11507.23235,,,,,,,,,,,,,,,,,
,1988,ALB,Europe,3142336,11843.33118,,,,,,,,,,,,,,,,,
,1989,ALB,Europe,3227943,11696.95556,,,,,,,,,,,,,,,,,
,1990,ALB,Europe,3286542,10823.4448,,,,,,,,,,,,,,,,,
,1991,ALB,Europe,3266790,11466.69071,,,,,,,,,,,,,,,,,
,1992,ALB,Europe,3247039,3238.55685,,,,,,,,,,,,,,,,,
,1993,ALB,Europe,3227287,3498.173652,,,,,,,,,,,,,,,,,
,1994,ALB,Europe,3207536,4217.173581,,,,,,,,,,,,,,,,,
,1995,ALB,Europe,3187784,5342.16856,,,,,,,,,,,,,,,,,
,1996,ALB,Europe,3168033,6319.739034,,,,,,,,,,,,,,,,,
,1997,ALB,Europe,3148281,7169.101006,,,,,,,,,,,,,,,,,
,1998,ALB,Europe,3128530,7152.375134,,,,,,,,,,,,,,,,,
,1999,ALB,Europe,3108778,7751.370216,,,,,,,,,,,,,,,,,
,2000,ALB,Europe,3089027,9129.706185,,,,,,,,,,,,,,,,,
,2001,ALB,Europe,3060173,11820.84939,,,,,,,,,,,,,,,,,
,2002,ALB,Europe,3051010,12377.41165,,,,,,,,,,,,,,,,,
,2003,ALB,Europe,3039616,10372.23283,,,,,,,,,,,,,,,,,
,2004,ALB,Europe,3026939,9610.266308,,,,,,,,,,,,,,,,,
,2005,ALB,Europe,3011487,8022.654781,,,,,,,,,,,,,,,,,
,2006,ALB,Europe,2992547,7728.906695,,,,,,,,,,,,,,,,,
,2007,ALB,Europe,2970017,7774.393829,,,,,,,,,,,,,,,,,
,2008,ALB,Europe,2947314,10361.81598,,,,,,,,,,,,,,,,,
,2009,ALB,Europe,2927519,12616.16757,,,,,,,,,,,,,,,,,
,2010,ALB,Europe,2913021,14304.35696,,,,,,,,,,,,,,,,,
,2011,ALB,Europe,2905195,15166.43785,,,,,,,,,,,,,,,,,
,2012,ALB,Europe,2900401,18878.50597,,,,,,,,,,,,,,,,,
,2013,ALB,Europe,2895092,19532.54015,,,,,,,,,,,,,,,,,
,2014,ALB,Europe,2889104,20547.71179,,,,,,,,,,,,,,,,,
,2015,ALB,Europe,2880703,16516.47103,,,,,,,,,,,,,,,,,
,2016,ALB,Europe,2876101,16234.80901,,,,,,,,,,,,,,,,,
,2017,ALB,Europe,2873457,18461.06486,,,,,,,,,,,,,,,,,
,2018,ALB,Europe,2866376,19017.17459,,,,,,,,,,,,,,,,,
Algeria,1960,DZA,Africa,11057863,18353.05972,,,,,,,,,,,,,,,,,
,1961,DZA,Africa,11336339,18894.5215,,,,,,,,,,,,,,,,,
,1962,DZA,Africa,11619828,19261.7105,,,,,,,,,,,,,,,,,
,1963,DZA,Africa,11912803,21936.5301,,,,,,,,,,,,,,,,,
,1964,DZA,Africa,12221675,22228.84649,,,,,,,,,,,,,,,,,
,1965,DZA,Africa,12550885,24741.49357,24.68492194,15.40525194,0.8141,7.4305,1.03507,0,0,0,,,,,,,,,
,1966,DZA,Africa,12902627,32776.44227,29.73645528,20.27270528,0.79084,7.71925,0.95366,0,0,0,,,,,,,,,
,1967,DZA,Africa,13275026,38503.47961,28.10500111,18.94203111,0.60476,7.48825,1.06996,0,0,0,,,,,,,,,
,1968,DZA,Africa,13663583,41282.02012,30.14558139,20.16730139,0.63965,7.87325,1.46538,0,0,0,,,,,,,,,
,1969,DZA,Africa,14061722,43747.69185,33.4253775,21.30593,0.8141,10.3516875,0.95366,0,0,0,,,,,,,,,
,1970,DZA,Africa,14464985,48582.22088,36.57900583,24.34768083,0.96529,9.730875,1.53516,0,0,0,,,,,,,,,
,1971,DZA,Africa,14872250,47785.08927,39.61766028,27.44005028,0.26749,11.0495,0.86062,0,0,0,,,,,,,,,
,1972,DZA,Africa,15285990,43338.86676,44.49832917,30.12141417,0.2326,12.830125,1.31419,0,0,0,,,,,,,,,
,1973,DZA,Africa,15709825,39736.35406,53.0157525,32.900345,0.26749,17.8591875,1.98873,0,0,0,,,,,,,,,
,1974,DZA,Africa,16149025,41100.72994,58.75350083,36.54384083,0.22097,20.6745,1.31419,0,0,0,,,,,,,,,
,1975,DZA,Africa,16607707,38392.9439,70.2604075,40.6306675,0.27912,28.49,0.86062,0,0,0,,,,,,,,,
,1976,DZA,Africa,17085801,40626.75163,81.9636525,46.7177325,0.54661,33.6875,1.01181,0,0,0,,,,,,,,,
,1977,DZA,Africa,17582904,42300.33413,90.12660361,52.80649361,0.70943,35.90125,0.70943,0,0,0,,,,,,,,,
,1978,DZA,Africa,18102266,36039.6535,113.2967647,54.60794472,0.36053,57.65375,0.67454,0,0,0,,,,,,,,,
,1979,DZA,Africa,18647815,37224.10892,148.4473072,65.31861722,0.83736,81.52375,0.76758,0,0,0,,,,,,,,,
,1980,DZA,Africa,19221665,39134.39337,177.05754,66.20243,0.74432,109.43625,0.67454,0,0,0,,,,,,,,,
,1981,DZA,Africa,19824301,42029.76274,215.0575828,71.32307278,0.52335,142.2575,0.95366,0,0,0,,,,,,,,,
,1982,DZA,Africa,20452902,710.9816481,247.9517578,75.57341778,9.71105,161.41125,1.25604,0,0,0,,,,,,,,,
,1983,DZA,Africa,21101875,642.383858,270.8881611,84.89242111,8.66435,176.715,0.61639,0,0,0,,,,,,,,,
,1984,DZA,Africa,21763575,619.9613575,260.0575264,94.00200639,9.60638,155.25125,1.19789,0,0,0,,,,,,,,,
,1985,DZA,Africa,22431502,623.4405848,262.0863631,96.55380306,10.02506,153.8075,1.7,0,0,0,,,,,,,,,
,1986,DZA,Africa,23102389,637.7152307,277.4091989,98.02125417,10.29255,168.4375,0.657894737,0,0,0,,,,,,,,,
,1987,DZA,Africa,23774284,758.2375762,285.0057218,99.10052389,12.30454,172.2875,1.313157895,0,0,0,,,,,,,,,
,1988,DZA,Africa,24443467,685.2700853,305.3622776,99.17259861,11.57185,194.13625,0.481578947,0,0,0,,,,,,,,,
,1989,DZA,Africa,25106190,756.261853,296.994728,103.9366611,9.78083,182.6825,0.594736842,0,0,0,,,,,,,,,
,1990,DZA,Africa,25758869,792.3031202,314.929799,111.8116158,7.66417,195.09875,0.355263158,0,0,0,,,,,,,,,
,1991,DZA,Africa,26400479,890.5541365,311.9997387,110.6277861,7.9084,192.6925,0.771052632,0,0,0,,,,,,,,,
,1992,DZA,Africa,27028326,947.7041821,320.1621298,111.2926556,9.39704,198.94875,0.523684211,0,0,0,,,,,,,,,
,1993,DZA,Africa,27635515,865.6927296,297.880114,110.7548767,7.65254,178.54375,0.928947368,0,0,0,,,,,,,,,
,1994,DZA,Africa,28213774,656.361756,301.8670879,106.0508958,7.2106,188.16875,0.436842105,0,0,0,,,,,,,,,
,1995,DZA,Africa,28757785,441.2006733,313.0820275,103.1422828,7.2106,202.22125,0.507894737,0,0,0,,,,,,,,,
,1996,DZA,Africa,29266405,328.6732947,309.8808029,98.42207972,3.39596,207.7075,0.355263158,0,0,0,,,,,,,,,
,1997,DZA,Africa,29742979,397.1794508,297.8353479,97.64341944,5.95456,194.04,0.197368421,0,0,0,,,,,,,,,
,1998,DZA,Africa,30192754,522.6438073,308.2790275,100.6587481,6.37324,200.68125,0.565789474,0,0,0,,,,,,,,,
,1999,DZA,Africa,30623406,514.2952232,311.3681164,98.89834583,6.82681,205.10875,0.534210526,0,0,0,,,,,,,,,
,2000,DZA,Africa,31042235,423.5936602,299.9280725,103.1324797,5.64055,191.0129375,0.142105263,0,0,0,,,,,,,,,
,2001,DZA,Africa,31451514,387.784316,310.7918378,106.7753339,6.5128,197.322125,0.181578947,0,0,0,,,,,,,,,
,2002,DZA,Africa,31855109,556.8363181,321.9341547,118.3972297,8.54805,194.838875,0.15,0,0,0,,,,,,,,,
,2003,DZA,Africa,32264157,527.3335285,336.850954,123.1741181,7.04778,205.9316875,0.697368421,0,0,0,,,,,,,,,
,2004,DZA,Africa,32692163,872.4944916,349.7150341,128.7468303,8.40849,211.8991875,0.660526316,0,0,0,,,,,,,,,
,2005,DZA,Africa,33149724,982.9608993,366.1427957,134.2133849,6.90822,223.559875,1.461315789,0,0,0,,,,,,,,,
,2006,DZA,Africa,33641002,1255.564045,379.1735123,139.8457208,10.25766,228.4975,0.572631579,0,0,0,,,,,,,,,
,2007,DZA,Africa,34166972,1902.422346,399.5954578,156.3899965,8.80391,233.8068145,0.594736842,0,0,0,,,,,,,,,
,2008,DZA,Africa,34730608,2599.566464,423.5064182,169.9158964,8.80391,244.041875,0.744736842,0,0,0,,,,,,,,,
,2009,DZA,Africa,35333881,3121.995637,448.8042344,180.1344294,5.65218,262.117625,0.9,0,0,0,,,,,,,,,
,2010,DZA,Africa,35977455,4080.94141,437.4056155,180.048855,3.6053,253.27225,0.455263158,0,0.023947368,0,,,,,,,,,
,2011,DZA,Africa,36661444,3122.780766,464.4379458,192.2276531,3.19825,267.969625,0.994736842,0,0.047680921,0,,,,,,,,,
,2012,DZA,Africa,37383887,3587.883798,507.6259857,204.3952678,3.39596,298.74075,1.023684211,0,0.07032372,0,,,,,,,,,
,2013,DZA,Africa,38140132,4615.468028,536.9648395,213.576385,1.83754,321.215125,0.260526316,0,0.075263158,0,,,,,,,,,
,2014,DZA,Africa,38923687,5100.095808,585.5935938,221.9251528,2.08177,360.91825,0.507894737,0,0.157894737,0.002631579,,,,,,,,,
,2015,DZA,Africa,39728025,5254.882338,617.5044838,236.1484833,1.54679,379.225,0.381578947,0,0.152631579,0.05,,,,,,,,,
,2016,DZA,Africa,40551404,5408.410496,616.8577568,229.4410393,0.56987,385.9625,0.189473684,0,0.644736842,0.050136986,,,,,,,,,
,2017,DZA,Africa,41389198,4166.979684,617.8796481,225.3893039,2.11666,388.85,0.147368421,0,1.326315789,0.05,,,,,,,,,
,2018,DZA,Africa,42228429,3506.072885,659.5842168,228.1965042,2.11666,427.35,0.307894737,0,1.586842105,0.026315789,,,,,,,,,
American Samoa,1960,ASM,Oceania,20123,4095.812942,,,,,,,,,,,,,,,,,
,1961,ASM,Oceania,20602,3432.385736,,,,,,,,,,,,,,,,,
,1962,ASM,Oceania,21253,1246.750329,,,,,,,,,,,,,,,,,
,1963,ASM,Oceania,22034,1416.5862,,,,,,,,,,,,,,,,,
,1964,ASM,Oceania,22854,1760.717634,,,,,,,,,,,,,,,,,
,1965,ASM,Oceania,23672,2124.481155,,,,,,,,,,,,,,,,,
,1966,ASM,Oceania,24462,2392.261075,,,,,,,,,,,,,,,,,
,1967,ASM,Oceania,25248,2660.601157,,,,,,,,,,,,,,,,,
,1968,ASM,Oceania,25989,2947.935536,,,,,,,,,,,,,,,,,
,1969,ASM,Oceania,26703,3372.4929,,,,,,,,,,,,,,,,,
,1970,ASM,Oceania,27363,3899.328728,,,,,,,,,,,,,,,,,
,1971,ASM,Oceania,27984,4703.179401,,,,,,,,,,,,,,,,,
,1972,ASM,Oceania,28567,5463.241276,,,,,,,,,,,,,,,,,
,1973,ASM,Oceania,29100,6453.477,,,,,,,,,,,,,,,,,
,1974,ASM,Oceania,29596,7076.422212,,,,,,,,,,,,,,,,,
,1975,ASM,Oceania,30052,7348.212943,,,,,,,,,,,,,,,,,
,1976,ASM,Oceania,30456,7601.848491,,,,,,,,,,,,,,,,,
,1977,ASM,Oceania,30838,7744.274917,,,,,,,,,,,,,,,,,
,1978,ASM,Oceania,31269,8136.16884,,,,,,,,,,,,,,,,,
,1979,ASM,Oceania,31845,8770.751631,,,,,,,,,,,,,,,,,
,1980,ASM,Oceania,32646,8406.592992,,,,,,,,,,,,,,,,,
,1981,ASM,Oceania,33701,9030.975299,,,,,,,,,,,,,,,,,
,1982,ASM,Oceania,34968,9492.038256,,,,,,,,,,,,,,,,,
,1983,ASM,Oceania,36412,9940.191639,,,,,,,,,,,,,,,,,
,1984,ASM,Oceania,37946,10260.58502,,,,,,,,,,,,,,,,,
,1985,ASM,Oceania,39519,10920.84269,,,,,,,,,,,,,,,,,
,1986,ASM,Oceania,41119,10370.67113,,,,,,,,,,,,,,,,,
,1987,ASM,Oceania,42740,10404.43621,,,,,,,,,,,,,,,,,
,1988,ASM,Oceania,44343,10789.95096,,,,,,,,,,,,,,,,,
,1989,ASM,Oceania,45894,11446.63847,,,,,,,,,,,,,,,,,
,1990,ASM,Oceania,47347,12547.61304,,,,,,,,,,,,,,,,,
,1991,ASM,Oceania,48685,13989.71567,,,,,,,,,,,,,,,,,
,1992,ASM,Oceania,49896,15607.08987,,,,,,,,,,,,,,,,,
,1993,ASM,Oceania,51020,16024.34555,,,,,,,,,,,,,,,,,
,1994,ASM,Oceania,52095,14113.07726,,,,,,,,,,,,,,,,,
,1995,ASM,Oceania,53161,13049.25705,,,,,,,,,,,,,,,,,
,1996,ASM,Oceania,54211,12746.20502,,,,,,,,,,,,,,,,,
,1997,ASM,Oceania,55221,13272.44133,,,,,,,,,,,,,,,,,
,1998,ASM,Oceania,56171,12909.74418,,,,,,,,,,,,,,,,,
,1999,ASM,Oceania,57053,13501.58092,,,,,,,,,,,,,,,,,
,2000,ASM,Oceania,57821,14286.09316,,,,,,,,,,,,,,,,,
,2001,ASM,Oceania,58494,15197.61746,,,,,,,,,,,,,,,,,
,2002,ASM,Oceania,59080,15383.41519,,,,,,,,,,,,,,,,,
,2003,ASM,Oceania,59504,16726.98081,,,,,,,,,,,,,,,,,
,2004,ASM,Oceania,59681,224.0852363,,,,,,,,,,,,,,,,,
,2005,ASM,Oceania,59562,239.3032596,,,,,,,,,,,,,,,,,
,2006,ASM,Oceania,59107,262.11878,,,,,,,,,,,,,,,,,
,2007,ASM,Oceania,58365,295.1800808,,,,,,,,,,,,,,,,,
,2008,ASM,Oceania,57492,342.6673428,,,,,,,,,,,,,,,,,
,2009,ASM,Oceania,56683,422.0325136,,,,,,,,,,,,,,,,,
,2010,ASM,Oceania,56079,776.2066945,,,,,,,,,,,,,,,,,
,2011,ASM,Oceania,55759,834.7030953,,,,,,,,,,,,,,,,,
,2012,ASM,Oceania,55667,1005.503189,,,,,,,,,,,,,,,,,
,2013,ASM,Oceania,55713,1121.47763,,,,,,,,,,,,,,,,,
,2014,ASM,Oceania,55791,1192.096764,,,,,,,,,,,,,,,,,
,2015,ASM,Oceania,55812,1561.76539,,,,,,,,,,,,,,,,,
,2016,ASM,Oceania,55741,2050.791319,,,,,,,,,,,,,,,,,
,2017,ASM,Oceania,55620,2048.569132,,,,,,,,,,,,,,,,,
,2018,ASM,Oceania,55465,1862.76553,,,,,,,,,,,,,,,,,
Andorra,1960,AND,Europe,13411,1697.122531,,,,,,,,,,,,,,,,,
,1961,AND,Europe,14375,1670.366292,,,,,,,,,,,,,,,,,
,1962,AND,Europe,15370,1604.989765,,,,,,,,,,,,,,,,,
,1963,AND,Europe,16412,1487.914793,,,,,,,,,,,,,,,,,
,1964,AND,Europe,17469,1541.418651,,,,,,,,,,,,,,,,,
,1965,AND,Europe,18549,1473.925545,,,,,,,,,,,,,,,,,
,1966,AND,Europe,19647,1503.38664,,,,,,,,,,,,,,,,,
,1967,AND,Europe,20758,2007.155346,,,,,,,,,,,,,,,,,
,1968,AND,Europe,21890,1926.482902,,,,,,,,,,,,,,,,,
,1969,AND,Europe,23058,2025.070651,,,,,,,,,,,,,,,,,
,1970,AND,Europe,24276,1994.689372,,,,,,,,,,,,,,,,,
,1971,AND,Europe,25559,1987.182926,,,,,,,,,,,,,,,,,
,1972,AND,Europe,26892,2070.370169,,,,,,,,,,,,,,,,,
,1973,AND,Europe,28232,2233.568976,,,,,,,,,,,,,,,,,
,1974,AND,Europe,29520,2316.788919,,,,,,,,,,,,,,,,,
,1975,AND,Europe,30705,2187.164243,,,,,,,,,,,,,,,,,
,1976,AND,Europe,31777,2330.620622,,,,,,,,,,,,,,,,,
,1977,AND,Europe,32771,2604.292156,,,,,,,,,,,,,,,,,
,1978,AND,Europe,33737,2508.642953,,,,,,,,,,,,,,,,,
,1979,AND,Europe,34818,2475.104262,,,,,,,,,,,,,,,,,
,1980,AND,Europe,36067,2734.817321,,,,,,,,,,,,,,,,,
,1981,AND,Europe,37500,3132.857134,,,,,,,,,,,,,,,,,
,1982,AND,Europe,39114,3763.348027,,,,,,,,,,,,,,,,,
,1983,AND,Europe,40867,4356.830765,,,,,,,,,,,,,,,,,
,1984,AND,Europe,42706,4960.663315,,,,,,,,,,,,,,,,,
,1985,AND,Europe,44600,6143.344714,,,,,,,,,,,,,,,,,
,1986,AND,Europe,46517,5183.095446,,,,,,,,,,,,,,,,,
,1987,AND,Europe,48455,5946.38095,,,,,,,,,,,,,,,,,
,1988,AND,Europe,50434,6889.966532,,,,,,,,,,,,,,,,,
,1989,AND,Europe,52448,7504.306889,,,,,,,,,,,,,,,,,
,1990,AND,Europe,54509,7554.255451,,,,,,,,,,,,,,,,,
,1991,AND,Europe,56671,7500.462527,,,,,,,,,,,,,,,,,
,1992,AND,Europe,58888,6460.182968,,,,,,,,,,,,,,,,,
,1993,AND,Europe,60971,6215.04815,,,,,,,,,,,,,,,,,
,1994,AND,Europe,62677,6280.743769,,,,,,,,,,,,,,,,,
,1995,AND,Europe,63850,6610.150262,,,,,,,,,,,,,,,,,
,1996,AND,Europe,64360,1155.89017,,,,,,,,,,,,,,,,,
,1997,AND,Europe,64327,850.3047369,,,,,,,,,,,,,,,,,
,1998,AND,Europe,64142,1173.238213,,,,,,,,,,,,,,,,,
,1999,AND,Europe,64370,1279.113432,,,,,,,,,,,,,,,,,
,2000,AND,Europe,65390,1272.802978,,,,,,,,,,,,,,,,,
,2001,AND,Europe,67341,1062.543552,,,,,,,,,,,,,,,,,
,2002,AND,Europe,70049,1141.080481,,,,,,,,,,,,,,,,,
,2003,AND,Europe,73182,1329.058659,,,,,,,,,,,,,,,,,
,2004,AND,Europe,76244,1322.590804,,,,,,,,,,,,,,,,,
,2005,AND,Europe,78867,1372.374343,,,,,,,,,,,,,,,,,
,2006,AND,Europe,80993,1408.865208,,,,,,,,,,,,,,,,,
,2007,AND,Europe,82684,2097.022579,,,,,,,,,,,,,,,,,
,2008,AND,Europe,83862,2844.863648,,,,,,,,,,,,,,,,,
,2009,AND,Europe,84463,2027.337124,,,,,,,,,,,,,,,,,
,2010,AND,Europe,84449,1948.224686,,,,,,,,,,,,,,,,,
,2011,AND,Europe,83747,2129.708281,,,,,,,,,,,,,,,,,
,2012,AND,Europe,82427,2146.364483,,,,,,,,,,,,,,,,,
,2013,AND,Europe,80774,2520.921634,,,,,,,,,,,,,,,,,
,2014,AND,Europe,79213,2758.835212,,,,,,,,,,,,,,,,,
,2015,AND,Europe,78011,2776.32199,,,,,,,,,,,,,,,,,
,2016,AND,Europe,77297,2927.89756,,,,,,,,,,,,,,,,,
,2017,AND,Europe,77001,3553.377752,,,,,,,,,,,,,,,,,
,2018,AND,Europe,77006,2659.7086,,,,,,,,,,,,,,,,,
Angola,1960,AGO,Africa,5454933,2926.12697,,,,,,,,,,,,,,,,,
,1961,AGO,Africa,5531472,3613.621709,,,,,,,,,,,,,,,,,
,1962,AGO,Africa,5608539,3562.875602,,,,,,,,,,,,,,,,,
,1963,AGO,Africa,5679458,3985.19121,,,,,,,,,,,,,,,,,
,1964,AGO,Africa,5735044,2383.867693,,,,,,,,,,,,,,,,,
,1965,AGO,Africa,5770570,4333.482973,,,,,,,,,,,,,,,,,
,1966,AGO,Africa,5781214,5735.360327,,,,,,,,,,,,,,,,,
,1967,AGO,Africa,5774243,6823.537616,,,,,,,,,,,,,,,,,
,1968,AGO,Africa,5771652,6969.118088,,,,,,,,,,,,,,,,,
,1969,AGO,Africa,5803254,7483.139682,,,,,,,,,,,,,,,,,
,1970,AGO,Africa,5890365,7408.708238,,,,,,,,,,,,,,,,,
,1971,AGO,Africa,6040777,7721.354543,,,,,,,,,,,,,,,,,
,1972,AGO,Africa,6248552,8213.1272,,,,,,,,,,,,,,,,,
,1973,AGO,Africa,6496962,8289.505729,,,,,,,,,,,,,,,,,
,1974,AGO,Africa,6761380,7774.736203,,,,,,,,,,,,,,,,,
,1975,AGO,Africa,7024000,7708.100996,,,,,,,,,,,,,,,,,
,1976,AGO,Africa,7279509,7208.371567,,,,,,,,,,,,,,,,,
,1977,AGO,Africa,7533735,2593.40415,,,,,,,,,,,,,,,,,
,1978,AGO,Africa,7790707,3349.806124,,,,,,,,,,,,,,,,,
,1979,AGO,Africa,8058067,4277.721351,,,,,,,,,,,,,,,,,
,1980,AGO,Africa,8341289,5109.851325,,,,,,,,,,,,,,,,,
,1981,AGO,Africa,8640446,5919.012037,,,,,,,,,,,,,,,,,
,1982,AGO,Africa,8952950,7245.448317,,,,,,,,,,,,,,,,,
,1983,AGO,Africa,9278096,9020.873098,,,,,,,,,,,,,,,,,
,1984,AGO,Africa,9614754,8225.137176,,,,,,,,,,,,,,,,,
,1985,AGO,Africa,9961997,10385.96443,,,,,,,,,,,,,,,,,
